speaker_id,text,text_path,audio_path,gender,age
speaker_001,yizhin yizhizhin yitat,data/raw\speaker_001\audio_0.txt,data/raw\speaker_001\audio_0.wav,Unknown,Unknown
speaker_001,yinɛ yigwɛ yigwata,data/raw\speaker_001\audio_1.txt,data/raw\speaker_001\audio_1.wav,Unknown,Unknown
speaker_001,nupe gani nupe kogi,data/raw\speaker_001\audio_2.txt,data/raw\speaker_001\audio_2.wav,Unknown,Unknown
speaker_001,muyi tsudi etsu baba,data/raw\speaker_001\audio_3.txt,data/raw\speaker_001\audio_3.wav,Unknown,Unknown
speaker_001,egwa na egba na esan,data/raw\speaker_001\audio_4.txt,data/raw\speaker_001\audio_4.wav,Unknown,Unknown
speaker_002,tswako tswa mi na,data/raw\speaker_002\audio_0.txt,data/raw\speaker_002\audio_0.wav,Unknown,Unknown
speaker_002,efi na eya na ewo,data/raw\speaker_002\audio_1.txt,data/raw\speaker_002\audio_1.wav,Unknown,Unknown
speaker_002,gbani gbani nupe gbani,data/raw\speaker_002\audio_2.txt,data/raw\speaker_002\audio_2.wav,Unknown,Unknown
speaker_002,eba na ewo na eshe,data/raw\speaker_002\audio_3.txt,data/raw\speaker_002\audio_3.wav,Unknown,Unknown
speaker_002,tswa mi na nupe kogi,data/raw\speaker_002\audio_4.txt,data/raw\speaker_002\audio_4.wav,Unknown,Unknown
Speaker_id_1,wa jin tabbata?,data/raw\Speaker_id_1\nup_001.txt,data/raw\Speaker_id_1\nup_001.wav,Unknown,Unknown
Speaker_id_1,zhiyi mallami woyo?,data/raw\Speaker_id_1\nup_002.txt,data/raw\Speaker_id_1\nup_002.wav,Unknown,Unknown
Speaker_id_1,Nanko edajin ya bata a,data/raw\Speaker_id_1\nup_003.txt,data/raw\Speaker_id_1\nup_003.wav,Unknown,Unknown
Speaker_id_1,Eya yigbeci yigbeci u yi o,data/raw\Speaker_id_1\nup_004.txt,data/raw\Speaker_id_1\nup_004.wav,Unknown,Unknown
Speaker_id_1,Yaba ma gi dede a una u wu,data/raw\Speaker_id_1\nup_005.txt,data/raw\Speaker_id_1\nup_005.wav,Unknown,Unknown
Speaker_id_1,A woma guba gunji bo a,data/raw\Speaker_id_1\nup_006.txt,data/raw\Speaker_id_1\nup_006.wav,Unknown,Unknown
Speaker_id_1,Egaga a cin a yi jinjin a,data/raw\Speaker_id_1\nup_007.txt,data/raw\Speaker_id_1\nup_007.wav,Unknown,Unknown
Speaker_id_1,Bola la wun ze tsa,data/raw\Speaker_id_1\nup_008.txt,data/raw\Speaker_id_1\nup_008.wav,Unknown,Unknown
Speaker_id_1,Gamana wuii esa a robo a,data/raw\Speaker_id_1\nup_009.txt,data/raw\Speaker_id_1\nup_009.wav,Unknown,Unknown
Speaker_id_1,Evo ala dukun ematsa dukun ga ala evo matsa,data/raw\Speaker_id_1\nup_010.txt,data/raw\Speaker_id_1\nup_010.wav,Unknown,Unknown
Speaker_id_1,A kpe te ke sami elu nuwon na a ci ku wo da si u,data/raw\Speaker_id_1\nup_011.txt,data/raw\Speaker_id_1\nup_011.wav,Unknown,Unknown
Speaker_id_1,Ajin a gbin do ga a chi fi u yi ?,data/raw\Speaker_id_1\nup_012.txt,data/raw\Speaker_id_1\nup_012.wav,Unknown,Unknown
Speaker_id_1,ki woya jion ayi woga yi mi yannao,data/raw\Speaker_id_1\nup_013.txt,data/raw\Speaker_id_1\nup_013.wav,Unknown,Unknown
Speaker_id_1,Ekpa gbo a wo ga ebi nu a,data/raw\Speaker_id_1\nup_014.txt,data/raw\Speaker_id_1\nup_014.wav,Unknown,Unknown
Speaker_id_1,Chigbe na a le be koko nyi na kaga u zo gun a wun a zo mada,data/raw\Speaker_id_1\nup_015.txt,data/raw\Speaker_id_1\nup_015.wav,Unknown,Unknown
Speaker_id_1,A jin nyina ge ebo sun o,data/raw\Speaker_id_1\nup_016.txt,data/raw\Speaker_id_1\nup_016.wav,Unknown,Unknown
Speaker_id_1,Egaga a chin a yi jinjin a,data/raw\Speaker_id_1\nup_017.txt,data/raw\Speaker_id_1\nup_017.wav,Unknown,Unknown
Speaker_id_1,Egan dede nyika fu nuwou bipa,data/raw\Speaker_id_1\nup_018.txt,data/raw\Speaker_id_1\nup_018.wav,Unknown,Unknown
Speaker_id_1,Ewo wu za ga tsukun,data/raw\Speaker_id_1\nup_019.txt,data/raw\Speaker_id_1\nup_019.wav,Unknown,Unknown
Speaker_id_1,Fuini ga wun a nyanya nya fe a u de edza nya gwa u ?,data/raw\Speaker_id_1\nup_020.txt,data/raw\Speaker_id_1\nup_020.wav,Unknown,Unknown
Speaker_id_1,wunyi eya gbanyo kuma wunyi doka-sirri gun eya guba ni,data/raw\Speaker_id_1\nup_021.txt,data/raw\Speaker_id_1\nup_021.wav,Unknown,Unknown
Speaker_id_1,lazhi nini ke kami efin guwo beni na zandochi fe zhe kpako office yan,data/raw\Speaker_id_1\nup_022.txt,data/raw\Speaker_id_1\nup_022.wav,Unknown,Unknown
Speaker_id_1,hello ki minya jin ya woyo?Daisy fe gbin nyinzagibosoko be kuma fedun,data/raw\Speaker_id_1\nup_023.txt,data/raw\Speaker_id_1\nup_023.wav,Unknown,Unknown
Speaker_id_1,mikpe woga ewodechi woyo,data/raw\Speaker_id_1\nup_024.txt,data/raw\Speaker_id_1\nup_024.wav,Unknown,Unknown
Speaker_id_1,mikpe ena wo jin nufina yi shi lorna shi ganni mrs humpries fe zhegfan,data/raw\Speaker_id_1\nup_025.txt,data/raw\Speaker_id_1\nup_025.wav,Unknown,Unknown
Speaker_id_1,A achinga kuma wola yesa keyabo yami wokpe,data/raw\Speaker_id_1\nup_026.txt,data/raw\Speaker_id_1\nup_026.wav,Unknown,Unknown
Speaker_id_1,be dasun e Daisy fe le eyan wanawana ye tinya namba o,data/raw\Speaker_id_1\nup_027.txt,data/raw\Speaker_id_1\nup_027.wav,Unknown,Unknown
Speaker_id_1,mrs humphries lorna ga dana o?,data/raw\Speaker_id_1\nup_028.txt,data/raw\Speaker_id_1\nup_028.wav,Unknown,Unknown
Speaker_id_1,Daisy ya yigbechi ne yiyan shago na de wan etwa guba na gogan na,data/raw\Speaker_id_1\nup_029.txt,data/raw\Speaker_id_1\nup_029.wav,Unknown,Unknown
Speaker_id_1,wunfe kokin karayin ebo zandondo ga lyiu ye tagagi tetengi shikan man o,data/raw\Speaker_id_1\nup_030.txt,data/raw\Speaker_id_1\nup_030.wav,Unknown,Unknown
Speaker_id_1,minya guwa o lokpa bya wunfe gbin be tiuyin,data/raw\Speaker_id_1\nup_031.txt,data/raw\Speaker_id_1\nup_031.wav,Unknown,Unknown
Speaker_id_1,Daisy man fe ku film yan yendondo kuma to egan nan wunfe gan kpata na,data/raw\Speaker_id_1\nup_032.txt,data/raw\Speaker_id_1\nup_032.wav,Unknown,Unknown
Speaker_id_1,wunfe wagan wan nu amma wunfe da yi yendochi gwa kuma egunkpa fe be,data/raw\Speaker_id_1\nup_033.txt,data/raw\Speaker_id_1\nup_033.wav,Unknown,Unknown
Speaker_id_1,mi ga zagubaba ye wan ebo doka gbintu o,data/raw\Speaker_id_1\nup_034.txt,data/raw\Speaker_id_1\nup_034.wav,Unknown,Unknown
Speaker_id_1,unyi zahiri gan gammana wo zhuon,data/raw\Speaker_id_1\nup_035.txt,data/raw\Speaker_id_1\nup_035.wav,Unknown,Unknown
Speaker_id_1,Daisy fe yakpe ebo wun le sunna yan takada kinzhi ye,data/raw\Speaker_id_1\nup_036.txt,data/raw\Speaker_id_1\nup_036.wav,Unknown,Unknown
